fecha,empresa,numero_comprobante,articulo,precio_original,precio_normalizado,moneda,origen_dato,metodo_estimacion,observaciones_origen
2022-07-19,HOLCIM,0280-00140205,CEMENTO CPC40 BOL 50 KG,829.30,16.5859,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-19,HOLCIM,0280-00140206,CEMENTO CPC40 BOL 50 KG,829.30,16.5859,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-21,HOLCIM,0280-00140284,CEMENTO CPC40 BOL 50 KG,829.30,16.5859,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-21,HOLCIM,0280-00140285,CEMENTO CPC40 BOL 50 KG,829.30,16.5859,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-21,HOLCIM,0280-00140286,CEMENTO CPC40 BOL 50 KG,829.30,16.5859,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-21,HOLCIM,0280-00140287,CEMENTO CPC40 BOL 50 KG,829.30,16.5859,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-22,HOLCIM,0280-00140336,CEMENTO CPC40 BOL 50 KG,829.30,16.5859,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-22,HOLCIM,0280-00140337,CEMENTO CPC40 BOL 50 KG,829.30,16.5859,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-22,HOLCIM,0280-00140338,CEMENTO CPC40 BOL 50 KG,829.30,16.5859,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-22,HOLCIM,0280-00140339,CEMENTO CPC40 BOL 50 KG,829.30,16.5859,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-23,HOLCIM,0280-00140346,CEMENTO CPC40 BOL 50 KG,829.30,16.5859,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-23,HOLCIM,0280-00140347,CEMENTO CPC40 BOL 50 KG,829.30,16.5859,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-26,HOLCIM,0280-00140423,CEMENTO CPC40 BOL 50 KG,829.30,16.5859,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-26,HOLCIM,0280-00140424,CEMENTO CPC40 BOL 50 KG,829.30,16.5859,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-26,HOLCIM,0280-00140425,CEMENTO CPC40 BOL 50 KG,829.30,16.5859,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-27,HOLCIM,0280-00140466,CEMENTO CPC40 BOL 50 KG,829.30,16.5859,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-27,HOLCIM,0280-00140467,CEMENTO CPC40 BOL 50 KG,829.30,16.5859,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-27,HOLCIM,0280-00140468,CEMENTO CPC40 BOL 50 KG,829.30,16.5859,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-27,HOLCIM,0280-00140469,CEMENTO CPC40 BOL 50 KG,829.30,16.5859,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-27,HOLCIM,0280-00140470,CEMENTO CPC40 BOL 50 KG,829.30,16.5859,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-28,HOLCIM,0280-00140540,CEMENTO CPC40 BOL 50 KG,829.30,16.5859,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-28,HOLCIM,0280-00140541,CEMENTO CPC40 BOL 50 KG,829.30,16.5859,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-28,HOLCIM,0280-00140542,CEMENTO CPC40 BOL 50 KG,829.30,16.5859,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-28,HOLCIM,0280-00140543,CEMENTO CPC40 BOL 50 KG,829.30,16.5859,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-30,HOLCIM,0280-00140569,CEMENTO CPC40 BOL 50 KG,829.30,16.5859,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-30,HOLCIM,0280-00140573,CEMENTO CPC40 BOL 50 KG,829.30,16.5859,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-30,HOLCIM,0280-00140608,CEMENTO CPC40 BOL 50 KG,829.30,16.5859,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
